name,country,address,phone,website,category,rating,num_reviews
Cafe Local,Turkey,"Saray, Yunus Emre Cd. No:16, 07400 Alanya/Antalya",(0242) 512 53 54,http://www.cafelocal.net/,Restoran,"4,8",2.361
Sherlock Holmes Restaurant Cafe Bar Alanya Turkey,Turkey,"Kadıpaşa, Damlataş Cd., 07400 Alanya/Antalya",0532 544 85 36,,Restoran,"4,7",893
SMAK Cafe & Eatery,Turkey,"Saray, İsmet Hilmi Balcı Cd. no:1/1, 07400 Alanya/Antalya",(0242) 889 11 11,https://smakcafeeatery.com/,Kafe,"4,7",678
Cozy Alanya,Turkey,"Çarşı, Damlataş Cd. No:51, 07400 Alanya/Antalya",0552 540 12 78,https://www.facebook.com/cozyalanya/,Restoran,"4,8",1.131
Konak Cafe & Restaurant,Turkey,"Tophane, 07400 Alanya/Antalya",0539 734 24 01,,Restoran,"4,6",234
Le Chevy Restaurant,Turkey,"Saray, Damlataş Cd. No:76, 07400 Alanya/Antalya",0533 501 62 47,https://www.instagram.com/lechevy/,Restoran,"4,8",2.596
Lost in Alanya,Turkey,"Şekerhane, Tevfikiye Cd. No:4, 07400 Alanya/Antalya",0530 910 87 98,,Restoran,"4,7",1.345
Cafe Zeytin Dalı,Turkey,"Çarşı, Helvacı Cd. no:33, 07400 Alanya/Antalya",(0242) 512 22 33,https://instagram.com/zeytindalicafe_,Kafe,"4,3",946
Kale Panorama Restoran,Turkey,"Tophane, Kale Cd., 07400 Alanya/Antalya",(0242) 512 62 82,http://www.alanyapanorama.com/,Restoran,"4,4",1.589
Teras Cafe&Restaurant,Turkey,"Büyükhasbahçe, Bektaş Cd. no:47, 07400 Alanya/Antalya",(0242) 522 55 52,,Aile restoranı,"4,5",1.984
Şehzade Cafe & Restaurant,Turkey,"Garanti Bank Karşı Arası, Saray Mah. Kale Arkası Sokkak, Atatürk Cad 14/A, 07400 Alanya/Antalya",(0242) 512 45 35,http://www.sehzadedoner.com/,Restoran,"4,8",812
Zencefil cafe restaurant,Turkey,"Büyükhasbahçe, Köşk Yolu Cd. no:15, 07400 Alanya/Antalya",0507 938 07 07,,Türk restoranı,"4,2",704
Shakespeare Coffee & Bistro (Alanya),Turkey,"Ahmet Tokuş Bulvarı Güller Pınarı Mah, No: 4, 07400 Alanya/Antalya",(0242) 511 66 76,http://www.shakespearebistro.com/,Restoran,"4,4",2.351
Elite Restoran,Turkey,"Saray, Hacıhamdioğlu Cd. No:2, 07400 Alanya/Antalya",(0242) 511 01 76,,Restoran,"4,5",1.477
Enberi Cafe,Turkey,"göl Mahallesi, Oba, Oer- Erkenschwick Cd No:2, 07460 Alanya/Antalya",0505 076 48 86,http://www.enbericafe.com/,Pizza restoranı,"4,4",2.227
