name,country,address,phone,website,category,rating,num_reviews
Vanilla Restaurant,Turkey,"Barbaros, Hesapçı Sk. No:33, 07100 Muratpaşa/Antalya",(0242) 247 60 13,http://www.vanillaantalya.com/,Restoran,"4,4",1.017
Nilvana Kır Bahçesi Van Kahvaltısı,Turkey,"Geyikbayırı Yolu Üzeri Sosyete Pazarı İçi Çakırlar, 07070 Antalya",0507 734 76 07,http://nilvanakirbahcesi.com/,Kahvaltı restoranı,"3,7",764
CASTLE CAFE & RESTORANT,Turkey,"Kılınçarslan, Hıdırlık Sk. No:46, 07100 Muratpaşa/Antalya",(0242) 248 65 94,https://www.facebook.com/castlebistro,Restoran,"4,1",2.333
Varuna Gezgin Cafe - Antalya - Kaleiçi,Turkey,"Kılınçarslan, Hamam Sk. 2/1, 07100 Muratpaşa/Antalya",0554 771 65 83,https://varunagezgin.com/,Restoran,"4,4",3.274
Otantik cafe Restourant,Turkey,"Bogazici iş Merkezi, Elmalı, 15. Sk. 10/B, 07040 Muratpaşa/Antalya",0507 132 07 18,https://www.otantikcafe.com.tr/,Restoran,"4,8",633
Tapas Cafe Bistro Antalya,Turkey,"Eski Lara Cad. No:28/1, 07100 Muratpaşa/Antalya",0530 582 86 87,http://www.tapaspapas.com/,Akdeniz mutfağı restoranı,"4,0",2.282
Kuğulu Park Manzara,Turkey,"Bahçelievler, 07050 Muratpaşa/Antalya",(0242) 248 33 00,,Restoran,"4,2",1.773
İba Cafe,Turkey,"İba Cafe, Altınkum, Akdeniz Blv. No:174 D:1, 07070 Konyaaltı/Antalya",(0242) 229 62 65,http://www.ibacafe.com/,Kafe,"4,1",2.914
LUNA GARDEN,Turkey,"Barbaros, Kocatepe Sk. No:4, 07000 Muratpaşa/Antalya",(0242) 241 61 62,http://www.lunagarden.com.tr/,Restoran,"4,4",10.784
Edalya Cafe & Restaurant,Turkey,"No 20 Eski Muratpaşa Adalia TR 07140, Lara Cd., Muratpaşa/Antalya",,,Restoran,"4,0",420
Yelken Kafe & Restoran,Turkey,"Selçuk, Varyant Sk. No:6, 07100 Muratpaşa/Antalya",,,Restoran,"4,5",422
DENİZE KARŞI GARDEN,Turkey,"IŞIKLAR CAD, Haşimişcan, Park Sk. No:1, 07100 Muratpaşa/Antalya",0537 987 17 34,,Brunch restoranı,"4,0",1.367
Çay-Tea's Boutique Café,Turkey,"Hotel Adalya Port altı, Selçuk, Selçuk Mah No: 71, 07100 Muratpaşa/Antalya",0543 233 44 64,https://www.cay-teas.com/,Kafe,"4,7",781
Denizyüzü Kafe,Turkey,"Fener, Lara Cd. No:339, 07160 Muratpaşa/Antalya",,,Kafe,"4,3",3.362
coffee's Antalya,Turkey,"Sahil Antalya Yaşam Parkı, Meltem, Beach Park No: 10/31, 07030 Muratpaşa/Antalya",(0242) 502 88 33,http://www.coffees.cafe/,Kafe,"4,5",941
Ship Inn Marina Restaurant,Turkey,"Liman Mahallesi, Liman 2 Cadde, 07130 Konyaaltı/Antalya",0532 389 12 99,http://www.shipinn.com.tr/,Akdeniz mutfağı restoranı,"4,5",1.835
Schiller Kaffee Liman & Franco's Pizza,Turkey,"Liman, Akdeniz Blv. 240 A, 07000 Konyaaltı/Antalya",(0242) 259 55 66,http://www.schiller.store/,Kahve dükkanı,"4,3",1.912
Mermerli Restaurant,Turkey,"Selçuk Mah Iskele Cad. Bathroom Sokak, Uzun Çarşı Sk. No:25, 07100",(0242) 248 54 84,http://mermerlirestaurant.com/,Restoran,"3,5",960
Canape Cafe & Bistro,Turkey,"Güzeloba, Lara Cd. 182/B, 07230 Muratpaşa/Antalya",0543 192 09 72,,Hint restoranı,"4,8",865
İSKELE RESTAURANT MARİNA,Turkey,"Selçuk, Selçuk Mah No:29, 07100 Muratpaşa/Antalya",(0242) 244 52 71,,Deniz mahsülleri restoranı,"4,0",479
Pablito,Turkey,"Şirinyalı, Lara Cd. No:24, 07100 Muratpaşa/Antalya",(0242) 316 20 40,https://www.pablitobistro.com/,Restoran,"4,3",3.017
La Rocca Bistro,Turkey,"Sahil Antalya Yaşam Parkı, Meltem, Beach Park No:10/30, 07030 Muratpaşa/Antalya",,http://www.laroccabistro.com/,Restoran,"4,2",1.088
7 Mehmet,Turkey,"Meltem Mahallesi, Atatürk Kültür Parkı, Dumlupınar Bulvarı No:201, 07030 Muratpaşa/Antalya",444 0 707,http://www.7mehmet.com/,Restoran,"4,2",9.564
The Grill House,Turkey,"Kuşkavağı, Akdeniz Blv. No:116, 07070 Konyaaltı/Antalya",(0242) 229 86 86,https://www.thegrillhouse.net/,Restoran,"4,3",1.930
Nar Beach&Bistro,Turkey,"Bahçelievler, Konyaaltı Cd,Atatürk Parkı İçi R-03 D:No:25/4, 07050 Muratpaşa/Antalya",(0242) 247 68 68,http://www.narbeachbistro.com.tr/,Bistro,"4,3",2.429
