name,country,address,phone,website,category,rating,num_reviews
BY Özkan Restaurant,Turkey,"Buhara, Edipoğlu Cd. No:116 D:a, 42070 Selçuklu/Konya",0532 714 91 46,https://byozkan.com/,Restoran,"4,7",175
Konya Kebap Evi,Turkey,"Horozluhan OSB, İstikamet Cd. No:3, 42120 Selçuklu/Konya",(0332) 249 99 89,http://www.konyakebapevi.com/,Kebap Restoranı,"4,8",13.055
Hacıoğlu Izgara Etliekmek Serpme Kahvaltı,Turkey,"Opet Petrol İçi, Kosova, Yeni İstanbul Cd., 42250 Selçuklu/Konya",0505 356 74 70,,Restoran,"4,5",1.103
Olive Garden Cafe & Restaurant,Turkey,"Küçük Ayasofya, Kadırga Limanı Cd. No:102, 34400 Fatih/İstanbul",,http://olivegardenrestaurant.com.tr/,Türk restoranı,"4,7",2.763
Konya Sufi Restaurant Geleneksel Konya Mutfağı,Turkey,"TÜRBE ÖNÜ ÇARŞISI, Aziziye, Müze Alanı Cd. NO:6 D:E, 42030 Karatay/Konya",,http://www.sufirestoran.com/,Restoran,"4,6",2.394
SULTAN SOMATI & THE TABLE OF SULTAN (FİNE DİNİNG RESTAURANT),Turkey,"Aziziye, Mengüc Cd. No:41, 42030 Karatay/Konya",0506 040 42 00,http://www.sultansomati.com.tr/,Restoran,"4,8",2.859
İstanbul Kebab Cafe Restaurant,Turkey,"Alemdar, Biçki Yurdu Sk. No:5, 34122 Fatih/İstanbul",0537 982 73 95,https://istanbulkebabcaferestaurant.com/,Restoran,"4,8",3.233
Şifa Restaurant Yöresel KONYA Mutfağı,Turkey,"Aziziye, Mevlana Cd. No : 69/A, 42030 Karatay/Konya",(0332) 352 05 19,http://www.sifarestaurant.com/,Türk restoranı,"4,2",3.564
Sultan Palace Cafe Restaurant,Turkey,"Alemdar, Biçki Yurdu Sk. No:1, 34122 Fatih/İstanbul",0533 553 74 78,http://www.sultanpalace.tr/,Restoran,"4,8",2.801
KuleSini Restaurant 42. Kat,Turkey,"Musalla Bağları Mahallesi Kule Cad. Kule Plaza, D:37-39, 42060 Selçuklu",(0332) 237 58 53,http://kuletower.com/,Restoran,"4,0",1.618
Loti Roof Lounge,Turkey,"Binbirdirek, Divan Yolu Cd. No:27, 34112 Fatih/İstanbul",0538 093 58 85,https://lotipoints.com/loti-roof-lounge/,Restoran,"4,8",5.378
Taka Balık (Fish),Turkey,"Feritpaşa, Ankara Cd. No:31, 42060 Selçuklu/Konya",(0332) 237 88 02,,Restoran,"4,2",3.214
Miss Etliekmek & Izgara,Turkey,"Kosova, Yeni İstanbul Cd. No:120, 42100, 42550 Selçuklu/Konya",0507 596 42 99,,Restoran,"4,9",93
360 Panorama Restaurant,Turkey,"alemdar mahallesi yerebatan caddesi no :18, Yerebatan Cd. no:18, 34110 Fatih/İstanbul",0536 479 73 93,http://www.360panoramarestaurant.com/,Restoran,"4,5",3.496
Starliçe Ev Yemekleri,Turkey,"Yazır, Şafak Cd. No:8, 42250 Selçuklu/Konya",0538 455 88 08,http://starlice-evyemekleri.eatbu.com/,Restoran,"4,6",102
