name,country,address,phone,website,category,rating,num_reviews
AG Hotels Airport Antalya,Türkiye,"Kızıltoprak, Aspendos Blv. No: 27/A, 07300 Muratpaşa/Antalya",(0242) 504 15 04,https://www.aghotels.com.tr/?utm_source=GMB&utm_medium=organic,,"4,8",2.639
Blue Marina Hotel,Türkiye,"Kızılsaray, 67. Sk. No:4, 07000 Muratpaşa/Antalya",(0242) 243 76 17,https://www.bluemarinahotel.com/,,"4,7",1.386
Octopus Kitap Cafe,Türkiye,"Haşim İşcan Caddesi, 1295. Sk. 41/ A, 07100 Muratpaşa/Antalya",0532 064 31 09,,Kitapçı,"4,4",1.327
Tapas Cafe Bistro Antalya,Türkiye,"Eski Lara Cad. No:28/1, 07100 Muratpaşa/Antalya",0530 582 86 87,http://www.tapaspapas.com/,Akdeniz mutfağı restoranı,"4,0",2.282
Çay-Tea's Boutique Café,Türkiye,"Hotel Adalya Port altı, Selçuk, Selçuk Mah No: 71, 07100 Muratpaşa/Antalya",0543 233 44 64,https://www.cay-teas.com/,Kafe,"4,7",781
Başka Ol,Türkiye,"Akra V Hotel, Şirinyalı, İsmet Gökşen Cd. no:1, 07070 Muratpaşa/Antalya",0552 903 79 84,https://baskaol.com/,Kafe,"4,5",944
Canape Cafe & Bistro,Türkiye,"Güzeloba, Lara Cd. 182/B, 07230 Muratpaşa/Antalya",0543 192 09 72,,Hint restoranı,"4,8",865
Ulus cafe oyun salonu,Türkiye,"Ulus, Orhan Veli Cd. no:4, 07000 Kepez/Antalya",,,Kafe,"4,9",11
Poe Book & Coffee House,Türkiye,"Şirinyalı mahallesi 1541 sokak numara:8, 07160 Muratpaşa/Antalya",,http://www.poe.cafe/,Kafe,"4,5",346
coffee's Antalya,Türkiye,"Sahil Antalya Yaşam Parkı, Meltem, Beach Park No: 10/31, 07030 Muratpaşa/Antalya",(0242) 502 88 33,http://www.coffees.cafe/,Kafe,"4,5",941
The Ran Book & Coffee House,Türkiye,"Şirinyalı, 1539. Sk. no:6/2, 07160 Muratpaşa/Antalya",0538 065 66 81,,Kafe,"4,8",17
CASTLE CAFE & RESTORANT,Türkiye,"Kılınçarslan, Hıdırlık Sk. No:46, 07100 Muratpaşa/Antalya",(0242) 248 65 94,https://www.facebook.com/castlebistro,Restoran,"4,1",2.332
Kitap Kafe,Türkiye,"Şirinyalı mah 1541 sokak numara:8, 07160 Muratpaşa/Antalya",0545 364 49 09,,,"4,6",20
