name,country,address,phone,website,category,rating,num_reviews
Sahil Restaurant,Türkiye,"Karaağaç Mah, Demet Sk. No:107/A, 31290 Arsuz/Hatay",(0326) 641 61 35,,Restoran,"4,1",1.095
Terrace Cafe,Türkiye,"Savaş, 40. Sk., 31200 İskenderun/Hatay",,,Kafe,"3,8",508
Lima,Türkiye,"Pirireis, Cengiz Topel Cd. No:2, 31200 İskenderun/Hatay",,http://limashore.com/,Kafe,"3,8",1.436
Belgin Abla Mutfağı,Türkiye,"Yenişehir, 19. Sk. No:20, 31200 İskenderun/Hatay",(0326) 613 28 58,https://www.facebook.com/belginablamutfagi/,Restoran,"4,4",98
Şükrü Ustanın Yeri,Türkiye,"Savaş, 48. Sk., 31200 İskenderun/Hatay",0539 844 97 87,,Türk restoranı,"4,5",692
Bayırlı Restorant Yörük Çadırı,Türkiye,"Çınarlı, 31200 İskenderun/Hatay",0555 571 33 09,,Restoran,"4,0",796
Vera Boulevard,Türkiye,"Süleymaniye, Atatürk Blv. no:97/4, 31200 İskenderun/Hatay",(0326) 612 00 06,https://8gunhaber.com/haber/35451/vera-boulevard-cafe-restoran-acildi.html,Restoran,"4,0",334
ULUDAG ISKENDER EVI Restuarant,Türkiye,"Savaş, Şht. Pamir Cd., 31000 İskenderun/Hatay",(0326) 613 43 33,,Restoran,"3,8",21
Karaköy Restaurant,Türkiye,"Mustafa Kemal, Eyüp Sultan Cd. No:25, 31200 İskenderun/Hatay",,,Restoran,"4,6",29
Yeni Lokanta,Türkiye,"Savaş, Şht. Pamir Cd. 48 Sok, 31200 İskenderun/Hatay",(0326) 614 23 90,,Restoran,"4,1",451
Terrace Bistro,Türkiye,"Savaş, Atatürk Blv. No:37, 31200 İskenderun/Hatay",(0326) 613 73 03,,Restoran,"4,0",236
Canım Ciğerim,Türkiye,"Ulu Cami Cad, Savaş, 98. Sk. No:20, 31300 İskenderun/Hatay",(0326) 614 20 72,,Restoran,"4,1",941
Elis Cafe & Nargile,Türkiye,"SAVAŞ MAHALLESİ MAREŞAL FEVZİ ÇAKMAK CAD. 41. SOK İSKENDERUN HATAY, 31200 İSKENDERUN/Hatay",0538 499 28 36,,Kafe,"4,4",184
Mikado Restaurant,Türkiye,"Karaağaç Konarlı, Uğur Mumcu Cd. No:365, 31290 Arsuz/Hatay",(0326) 641 30 00,,Restoran,"4,1",830
Secret Paradise Cafe & Breakfast,Türkiye,"Denizciler, 2507 Sk No:19, 31200 İskenderun/Hatay",0532 424 53 20,http://www.secretparadisecafe.com/,Kafe,"3,7",179
