name,country,address,phone,website,category,rating,num_reviews
Roxy Beach Lounge,Türkiye,"Meltem, Akdeniz Bulvarı No: 5 iç kapı no 2, 07730 Konyaaltı/Antalya",0532 489 65 05,https://www.roxybeachclubantalya.com/,Restoran,"4,3",1.482
Little Caesars - Antalya Kepez Suryapı Şubesi,Türkiye,"Kepez, 3283. Sk. No:11, 07090 Kepez/Antalya",(0242) 966 19 93,https://www.littlecaesars.com.tr/?utm_source=GMB&utm_medium=local&utm_campaign=LC-Antalya-Suryapi-Profile-Click,Pizza restoranı,"3,5",39
Seyir Terasi Cafe,Türkiye,"Yavuz Selim, 6375. Sk. No:818, 07080 Kepez/Antalya",0552 721 84 42,,Kafe,"4,2",1.795
AKÇALAR RESTAURANT,Türkiye,"Yeni Mahallesi 2452. Sokak, Yeni, Aliya Izzet Begoviç Cd 40 /A, 07060 Kepez/Antalya",(0242) 321 39 74,https://akcalarrestaurant.com/,Türk restoranı,"4,5",419
Çetinkaya Cafe & Restaurant,Türkiye,"Güneş, 15. Temmuz Şehitler Cd Esme Sultan Apt. D:104, 07260 Kepez/Antalya",0537 309 52 72,,Türk restoranı,"4,3",28
CASTLE CAFE & RESTORANT,Türkiye,"Kılınçarslan, Hıdırlık Sk. No:46, 07100 Muratpaşa/Antalya",(0242) 248 65 94,https://www.facebook.com/castlebistro,Restoran,"4,2",2.303
Türk Kahvesi,Türkiye,"Yeni, 2450. Sk. No:6, 07060 Kepez/Antalya",,,Kafe,"4,0",304
Usre Restoran,Türkiye,"Kepez, Kentormanı yanı yolu, 07220 Kepez/Antalya",(0242) 251 04 44,https://www.usrerestoran.com/,Restoran,"4,2",1.247
Değirmen Restaurant,Türkiye,"Şelale, 3167. Sk. No:14, 07210 Kepez/Antalya",0532 113 34 24,http://antalyadudenselalesi.com/,Restoran,"3,6",860
İstanbul Fırın- Cafe,Türkiye,"Mehmet Akif Ersoy, Mehmet Atay Cd. No:58, 07320 Kepez/Antalya",(0242) 503 28 28,https://istanbul-frn-cafe.eatbu.com/,Fırın,"3,9",107
Mokka Cafe Kültür,Türkiye,"Kültür, 3805. Sk., 07090 Kepez/Antalya",0554 179 42 07,,Kafe,"3,9",1.126
Konyalılar Restaurant,Türkiye,"Fabrikalar, Namık Kemal Bl. 19/1, 07090 Kepez/Antalya",444 8 442,http://www.konyalilarrestaurant.com/,Restoran,"3,5",2.984
Cafe Pufff,Türkiye,"Düdenbaşı, Ömer Buyrukçu Cd. A blok no :23 AB, 07100 Kepez/Antalya",0542 799 31 07,,Kafe,"4,4",96
Varuna Gezgin Cafe - Antalya - Kaleiçi,Türkiye,"Kılınçarslan, Hamam Sk. 2/1, 07100 Muratpaşa/Antalya",0554 771 65 83,https://varunagezgin.com/,Restoran,"4,4",3.245
Orman Restoran Kahvaltı Et Mangal,Türkiye,"Fatih, Antalya Blv. No:40, 07080 Kepez/Antalya",0536 492 93 52,,Kahvaltı restoranı,"4,2",297
Caffe meet,Türkiye,"Emek, Yeşilırmak Cd. NO:21/A, 07060 Kepez/Antalya",0532 523 69 23,,Kafe,"4,1",366
Antepli Dürümcü Cengiz Usta,Türkiye,"Ulus Mah.Yahya Kemal Cd.Emin Apt., 56/A, 07020 Antalya Kepez/Antalya",(0242) 334 77 77,,Dürüm Restoranı,"4,6",413
Efulin Cafe Restaurant,Türkiye,"Yükseliş, Yıldırım Beyazıt Cd. No:9, 07025 Kepez/Antalya",0507 120 19 98,http://efulin-cafe-restaurant.eatbu.com/,Kafe,,
By Marrakech Cafe,Türkiye,"Kültür, 3805. Sk. No:23/B, 07090 Kepez/Antalya",0535 796 68 72,https://bymarrakechcafe.com/,Kafe,"3,4",297
Canape Cafe & Bistro,Türkiye,"Güzeloba, Lara Cd. 182/B, 07230 Muratpaşa/Antalya",0543 192 09 72,,Hint restoranı,"4,8",817
