name,country,address,phone,website,category,rating,num_reviews
Orman Restoran Kahvaltı Et Mangal,Türkiye,"Fatih, Antalya Blv. No:40, 07080 Kepez/Antalya",0536 492 93 52,,Kahvaltı restoranı,"4,2",296
Balkan Lokantası,Türkiye,"nallı yücesan apartmanı, Kültür, 3805. Sk., 07010 Kepez/Antalya",(0242) 226 12 26,http://xn--balkanlokantas-jgc.com.tr/,Et Lokantası,"4,6",2.477
Usre Restoran,Türkiye,"Kepez, Kentormanı yanı yolu, 07220 Kepez/Antalya",(0242) 251 04 44,https://www.usrerestoran.com/,Restoran,"4,2",1.300
Konyalılar Restaurant,Türkiye,"Fabrikalar, Namık Kemal Bl. 19/1, 07090 Kepez/Antalya",444 8 442,http://www.konyalilarrestaurant.com/,Restoran,"3,5",3.008
Değirmen Restaurant,Türkiye,"Şelale, 3167. Sk. No:14, 07210 Kepez/Antalya",0532 113 34 24,http://antalyadudenselalesi.com/,Restoran,"3,6",882
Seyir Terasi Cafe,Türkiye,"Yavuz Selim, 6375. Sk. No:818, 07080 Kepez/Antalya",0552 721 84 42,,Kafe,"4,2",1.798
Varlı restaurant,Türkiye,"kepez kentormanı no:3, 07060 Kepez",0532 272 96 37,,Et Lokantası,"4,5",21
Ispartalı Çam Restaurant,Türkiye,"Yeni, 2431. Sk. No:50, 07060 Kepez/Antalya",(0242) 325 22 48,https://www.camrestaurant.co/,Restoran,"4,2",838
Antepli Dürümcü Cengiz Usta,Türkiye,"Ulus Mah.Yahya Kemal Cd.Emin Apt., 56/A, 07020 Antalya Kepez/Antalya",(0242) 334 77 77,,Dürüm Restoranı,"4,6",414
AKÇALAR RESTAURANT,Türkiye,"Yeni Mahallesi 2452. Sokak, Yeni, Aliya Izzet Begoviç Cd 40 /A, 07060 Kepez/Antalya",(0242) 321 39 74,https://akcalarrestaurant.com/,Türk restoranı,"4,5",427
KERVAN SOFRASI,Türkiye,"Ulus, 2105. Sk. NO:39/B, 07025 Kepez/Antalya",,https://www.yemeksepeti.com/kervan-sofrasi-dokuma-antalya,Restoran,"4,5",312
Antalya Kent Lokantası,Türkiye,"Kültür, Kafeler Caddesi Sokak No:3805, 07070 Kepez/Antalya",0532 332 68 07,,Restoran,"3,3",143
Kepez kent ormanı Doğa gözleme,Türkiye,"Duacı, 9000 sokak 12 /9, 07025 Kepez/Antalya",0549 267 00 88,,Restoran,"2,8",31
Konya Mutfağı,Türkiye,"Çankaya, Şehit uzman çavuş Erdoğan Sönmez caddesi No18/B, 07080 Kepez/Antalya",(0242) 502 42 07,,Restoran,"4,4",89
Macera restaurant,Türkiye,"Yeşilbayır, 07190 Kepez/Antalya",0537 545 60 33,,Barbekü restoranı,"3,9",21
Tostik,Türkiye,"Teomanpaşa, 2270. Sk. No:4, 07260 Kepez/Antalya",0539 698 92 47,https://www.tostik.com.tr/,Tostçu,"4,0",830
Edo meze evi & Pilav üstü lezzetler,Türkiye,"Kültür, 3821. Sk. No:36, 07090 Kepez/Antalya",0533 170 07 64,https://instagram.com/edo.meze.evi?igshid=MzRlODBiNWFlZA==,Pilav Restoranı,"3,7",180
Köfteci Ramiz,Türkiye,"Fabrikalar, Fikri Erten Cd. No:286, 07090 Kepez/Antalya",(0242) 334 64 62,https://www.google.com/url?sa=D&q=http://www.kofteciramiz.com/,Restoran,"3,6",456
Çömlekçi Restaurant,Türkiye,"Kızılsaray, Anafartalar Cd. No:48 D:B, 07000 Muratpaşa/Antalya",0532 377 69 01,https://comlekcirestaurant.com/,Restoran,"4,7",857
The Grill House,Türkiye,"Kuşkavağı, Akdeniz Blv. No:116, 07070 Konyaaltı/Antalya",(0242) 229 86 86,https://www.thegrillhouse.net/,Restoran,"4,3",1.919
Terrace Steak House Restaurant,Türkiye,"Kemerağzı Yeni Turizm Yolu Lara Doğakent Sitesi 5, 07112 Aksu/Antalya",0530 513 32 34,,Biftek restoranı,"4,7",3.076
Dürüm Aşkı,Türkiye,"Yeni mh, Aliya Izzet Begoviç Cd No:10/B, 07050 Kepez/Antalya",(0242) 326 55 11,http://www.durumaski.com/,Dürüm Restoranı,"4,0",606
Food in Box,Türkiye,"Gürsu, Akdeniz Blv. No:182, 07070 Konyaaltı/Antalya",0532 696 21 62,,Restoran,"4,2",5.364
Apayrı Simit Cafe Kahvaltı Salonu / KEPEZ,Türkiye,"Yeşilyurt mah. Şht. Bnb. Erdoğan Özdemir cad. Bostan Apt. No 7 ( 17 NOLU, SAĞLIK, Karşısı) kepez / ANTALYA, Kepez, 07070 Antalya",0542 423 26 18,,Simitçi,"4,0",157
Yemenli Meyhanesi,Türkiye,"Kaleiçi, Kılınçarslan, Zeytin Sk. No:16, 07100 Muratpaşa/Antalya",0505 758 80 88,http://www.kaleiciyemenli.com/,Restoran,"4,3",1.591
