name,country,address,phone,website,category,rating,num_reviews
shamse restaurant,Türkiye,"İstiklal, Tomtom, İstiklal Cd. No:179, 34440 Beyoğlu/İstanbul",0501 325 24 52,https://shamserestaurants.com/,Restoran,"4,8",3.321
Arwin Roof Restaurant,Türkiye,"Firuzaga Mah. Deftardar Yokusu, Batarya Sk. No:16, 34425 Beyoğlu/İstanbul",0535 522 79 46,http://www.arwincihangir.com/,Restoran,"4,8",1.634
Resto Galata Terrace,Türkiye,"Yavuz Sinan Mah.Ragıp Gümüşpala Cad, Resto Galata Terrace, Unkapanı Cd. No:69 kat 4, 34134 Fatih/İstanbul",0506 241 90 12,http://www.restogalataterrace.com/,Türk restoranı,"4,8",2.865
Pierre Loti Tepesi Turistik Tesisleri,Türkiye,"Merkez, İdris Köşkü Cd., 34050 Eyüpsultan/İstanbul",(0212) 497 16 16,http://www.instagram.com/pierrelotitepesi,Restoran,"4,3",33.061
Hidden Garden Restaurant Sultanahmet,Türkiye,"Binbirdirek, Peykhane Cd. No: 14/A, 34122 Fatih/İstanbul",0532 067 48 13,https://mshiddengarden.com/,Restoran,"4,8",15.491
Deraliye Terrace | Sultanahmet Rooftop Restaurant,Türkiye,"Alemdar Mahallesi Ticarethane Sokakk. No:10 Teras Kat, 34122 Fatih/İstanbul",(0212) 514 39 16,https://deraliyeterrace.com/,Restoran,"4,8",1.589
İstanbul Büyükşehir Belediyesi Çamlıca Sosyal Tesisleri,Türkiye,"Kısıklı, Turistik Çamlıca Cd., 34692 Üsküdar/İstanbul",444 1 034,https://tesislerimiz.ibb.istanbul/camlica-sosyal-tesisleri/,Restoran,"4,4",14.692
The Market at Bosphorus - Best Restaurant & Breakfast in İstanbul,Türkiye,"Kuruçeşme, Kuruçeşme Arena No:56, 34345 Beşiktaş/İstanbul",(0212) 257 41 11,https://themarketbosphorus.com/,Restoran,"4,7",11.581
Ziya Baba Türk Mutfağı Slow food kebap & Anatolian Breakfast,Türkiye,"Küçük Ayasofya, Kadırga Limanı Cd. No:136, 34122 Fatih/İstanbul",(0212) 458 07 36,,Türk restoranı,"4,8",2.300
Green Garden Restaurant Cafe,Türkiye,"Hoca Paşa, Nöbethane Çk. No:3, 34110 Fatih/İstanbul",(0212) 520 81 48,http://greengardentr.tilda.ws/,Restoran,"4,8",1.481
Garden 1897 Restaurant,Türkiye,"Inside of Garden House Hotel, Küçük Ayasofya, Şht. Mehmet Paşa Sk. No5, 34122 Fatih/İstanbul",0530 186 23 59,https://www.garden1897.com/,Restoran,"4,9",14.859
Hanzade Terrace Restaurant,Türkiye,"Emin Sinan, Piyer Loti Cd. No:35, 34126 Fatih/İstanbul",0544 546 28 28,http://www.hanzadeterracerestaurant.com/,Türk restoranı,"4,8",16.337
Restohan Kebap Bomonti,Türkiye,"Silahşör Cd. No:67/B, 34380, 34360 Şişli/İstanbul",0553 702 95 12,http://www.restohan.net/,Türk restoranı,"4,8",5.531
360 İstanbul,Türkiye,"Tomtom Mah. İstiklal Cad. No:163 K: 8, 34433 Beyoğlu/İstanbul",0533 691 03 60,http://www.360istanbul.com/,Türk restoranı,"4,0",5.496
Old Ottoman Cafe & Restaurant,Türkiye,"Alemdar, Cağaloğlu Hamamı Sk. No:17 D:J, 34110 Fatih/İstanbul",(0212) 514 55 00,,Restoran,"4,8",5.005
Cozy Garden Fish And Meat Restaurant,Türkiye,"Hocapaşa Mah. Hüdavengidar Caddesi, Serdar Sk. No:2, 34110 Fatih/İstanbul",0530 575 92 02,https://cozygardenrestaurant.com/,Restoran,"4,7",751
Gülhane Şark Sofrası,Türkiye,"Alemdar, Alayköşkü Cd. No:22, 34110 Fatih/İstanbul",,,Türk restoranı,"4,8",2.372
TURK FATIH TUTAK,Türkiye,"Cumhuriyet Hacıahmet Silahşör Cad, Yeniyol Sk. No:2, 34440 Şişli/İstanbul",0530 051 83 04,https://turkft.com/,Kaliteli yemek restoranı,"4,7",1.010
Turk Art Terrace Restaurant,Türkiye,"Cankurtaran, Tevkifhane Sk. no:12, 34122 Fatih/İstanbul",0530 562 44 21,,Restoran,"4,7",2.190
Pleasure Terrace Roof Restaurant in Istanbul,Türkiye,"Hoca Paşa, Hüdavendigar Cd. No:4 Kat:5, 34112 Fatih/İstanbul",0539 377 07 43,https://pleasureterracerooftop.com/,Restoran,"4,9",6.870
