name,country,address,phone,website,category,rating,num_reviews
Birtat Lokantası,Türkiye,"Külhan, 21. Sk. No:5-A D:B, 70100 Karaman Merkez/Karaman",(0338) 213 79 79,,Türk restoranı,"4,0",1.210
Şükrü Bey Restaurant,Türkiye,"Hisar, 505. Sk. 15/A, 70200 Karaman Merkez/Karaman",0501 145 70 70,,Restoran,"4,4",960
Arisdo Park Karaman,Türkiye,"Tahsin Ünal, İsmet Paşa Cd. No:17, 70100 Karaman Merkez/Karaman",(0338) 212 30 03,,Pastane,"3,8",347
ŞENER AÇIK BÜFE KAHVALTI SALONU,Türkiye,"Fenari, 260. Sk. No:3 D:B, 70100 Karaman Merkez/Karaman",(0338) 214 68 30,,Restoran,"4,6",561
Tandırbaşı Esnaf Lokantası ve Ev Yemekleri,Türkiye,"Ahiosman, 38. Sk. No:6, 70100 Karaman Merkez/Karaman",(0338) 213 04 51,,Türk restoranı,"4,4",56
Mekan-ı Lezzet,Türkiye,"Mahalesi, Sekiçeşme, Atatürk Blv. No:78/A, 70100 Karaman Merkez/Karaman",0501 234 87 70,https://www.mekanilezzet.com.tr/,Et Yemekleri Restoranı,"4,5",436
Orkide Restoran,Türkiye,"Külhan, İsmet Paşa Cd. No:32 kat 2, 70100 Karaman Merkez/Karaman",(0338) 213 47 57,,Meyhane,"4,1",70
Kardelen Etliekmek Doğan Usta ®,Türkiye,"Başakşehir, 2075. Sk., 70200 Karaman Merkez/Karaman",(0338) 228 05 03,,Restoran,"4,6",564
Vagon's Cafe,Türkiye,"Külhan, 2. İstasyon Cd. 17/A, 70100 Karaman Merkez/Karaman",(0338) 214 76 71,http://www.vagonscafe.com/,Kafe,"4,3",73
Nazif Kara köfte & kokoreç,Türkiye,"Hacıcelal, 100. Yıl Blv., 70100 Karaman Merkez/Karaman",0544 485 69 60,http://www.nazifkara.com.tr/,Köfteci,"4,2",2.526
Aşina Otogar Lokantası 7/24 Hizmetinizdeyiz,Türkiye,"Alacasuluk, 100. Yıl Blv. No:85, 70100 Karaman Merkez/Karaman",(0338) 213 49 99,,Restoran,"3,7",247
PÖÇ TANDIR&ZEMZEM RESTAURANT,Türkiye,"HACI CELAL MAHALLESİ, 100. Yıl Blv. Orta apartmanı No 131 A, 70100 Karaman Merkez/Karaman",0544 770 60 04,,Çorbacı,"4,8",1.207
Kısmet Etliekmek ve Lahmacun Salonu,Türkiye,"Sekiçeşme, Dr. Mehmet Armutlu Cd. No:23 D:c, 70200 Karaman Merkez/Karaman",(0338) 214 18 46,,Pideci,"4,8",448
Öz Adanalı Ali Ustanın Yeri,Türkiye,"Sekiçeşme, 60. Sk., 70100 Karaman Merkez/Karaman",0532 527 04 63,,Türk restoranı,"4,3",153
Tatlım Kafe,Türkiye,"Külhan, 1. İstasyon Cd. No:25, 70100 Karaman Merkez/Karaman",,,Kafe,"4,2",84
